공연명,장소,날짜
박지현의 〈생쇼행쇼〉 19：95 - 12：12,명화라이브홀,2024.12.14
안녕하신가영 단독 콘서트 〈우리에게〉 추가 공연,KT&G 상상마당 홍대 라이브홀,2024.12.08
2024 PEPPERTONES CONCERT 〈TWENTY〉,세종대학교 대양홀,2024.12.14 - 2024.12.15
2024 휘성 콘서트 Winterfall,KBS아레나,2024.12.23 - 2024.12.24
박진영 30주년 콘서트 〈Still JYP〉,올림픽공원 올림픽홀,2024.12.27 - 2024.12.29
이창섭 단독 콘서트 〈The Wayfarer〉,전국투어,2024.11.30 - 2025.01.05
2024 Wave to Earth 단독공연 ［play with earth! Seoul］,블루스퀘어 마스터카드홀,2024.11.29 - 2024.12.01
2024 YOON KYESANG FANMEETING ［LOG］,광운대학교 동해문화예술관 대극장,2024.12.14
2024 윤하 연말 콘서트 〈GROWTH THEORY〉,"서울, 인천",2024.11.15 - 2024.11.30
78LIVE - O.O.O,엠피엠지 2층 LOUNGE M.,2024.11.28
다섯 단독 콘서트 〈30.5〉,신한카드 SOL페이 스퀘어 라이브홀,2024.12.01
2024 신용재 콘서트 〈빛〉,코엑스 오디토리움,2024.12.24 - 2024.12.25
2024 노을 전국투어 콘서트 〈노을이 내린 밤〉,전국 각 지역,2024.11.30 - 2024.12.31
2024 현역가왕 전국투어 콘서트,전국 각 공연장,2024.10.05 ~ 2024.12.28
APF CONCERTS PRESENTS - kanekoayano Live in Seoul,무신사 개러지,2024.11.28
2024 다이나믹 듀오 단독 콘서트 “가끔씩 오래 보자”,"서울, 부산",2024.12.06 - 2024.12.21
2024 오피셜히게단디즘 내한공연,일산 킨텍스 제1전시장 5홀,2024.11.30 - 2024.12.01
［20집 발매 기념 조용필＆위대한탄생 Concert - 대구］,대구 엑스코 동관,2024.12.21
시가렛 애프터 섹스 내한공연,킨텍스 제1전시장 2홀,2025.01.07
2024 김경호 ROCK CHRISTMAS 콘서트,성신여대 운정그린캠퍼스 대강당,2024.12.21
2024 이무진 전국투어 콘서트 ［별책부록］,전국투어,2024.11.02 - 2024.12.15
2024 임한별의 별(別) 연말 콘서트 〈크리스마스타(A Christmas’ Star)〉,"서울,부산",2024.12.14 - 2024.12.25
2024-25 허각 전국투어 콘서트 〈공연각〉,전국 각 지역,2024.12.07 - 2025.01.19
테이 20주년 콘서트 〈테이스트〉,연세대학교 대강당,2024.12.07 - 2024.12.08
요네즈 켄시 내한공연,인스파이어 아레나,2025.03.22 - 2025.03.23
2024 송골매 콘서트 ‘열망’ 두번째 ［늘-봄］,"고양, 부산, 대구",2024.11.16 - 2024.12.08
2024 어반자카파 전국투어 콘서트 열다섯 번째 ‘겨울’,전국투어,2024.11.02 - 2024.12.25
2024 심수봉 전국투어 콘서트 : 꽃길,전국 각 지역,2024.05.25 -
2024 이봉원 데뷔 40주년 디너쇼,그랜드 워커힐 호텔 비스타홀,2024.12.21
2024 알렌워커(Alan Walker) 내한공연,KINTEX HALL 1,2024.12.14
피지 블루 내한공연 Fiji Blue LIVE IN SEOUL,무신사 개러지,2024.12.03
HYDE［INSIDE］ LIVE 2024 WORLD TOUR in SEOUL,예스24 라이브홀,2024.11.24
